"stat_code","stat_name","item_code1","item_name1","item_code2","item_name2","item_code3","item_name3","item_code4","item_name4","time","data_value","unit_name"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1975Q2",28674.5,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1975Q3",29494,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1975Q4",30404.1,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1976Q1",31282.4,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1976Q2",32786.2,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1976Q3",33422.3,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1976Q4",33798.2,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1977Q1",34136.5,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1977Q2",35868.3,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1977Q3",38023.7,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1977Q4",39456.5,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1978Q1",39137.1,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1978Q2",40343.4,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1978Q3",41093.5,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1978Q4",43064.9,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1979Q1",44996.8,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1979Q2",45336.9,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1979Q3",44082.1,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1979Q4",43412.6,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1980Q1",43797.3,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1980Q2",43561,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1980Q3",44385.6,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1980Q4",43158,"십억원"
